A BOLHA;UM PASSO A FRENTE;F71827
A EUPHONIOUS WAIL;A EUPHONIOUS WAIL;L66844
A FOOT IN COLD WATER;ALL AROUND US ;E67801
A LIQUID LANDSCAPE;LARGEST FIRE KNOWN TO MAN;Q05805
A LIQUID LANDSCAPE;NIGHTINGALE EXPRESS-DIGI-;M50927
A PIEDI NUDI;ECLISSI;115970
A PIEDI NUDI;NIC-G AND THE MOGSY;D56343
A SPIRALE;AGASPASTIK ;G49503
A SPIRALE;COME UNA LASTRA;615913
AARDVARK;TUNTEMANTON SOTILAS;A78113
AARON & ACKLEY;AARON & ACKLEY;Q16214
ABACABB;MAL DE TERRE ;F48849
ABACUS;ARCHIVES 1 - NEWS FROM..;P50572
ABACUS;ARCHIVES 2 - NEWS FROM..;S23471
ABACUS;DESTINY;J07130
ABACUS;EUROPEAN STORIES;R97122
ABACUS;IO;K53108
ABACUS;JUST A DAY'S JOURNEY AWAY;K84414
ABARICO;LOOP PROJECT;P55445
ABBHAMA;ALAM RAYA;P95368
ABBOT;BETWEEN OUR PAST AND..;Q14567
ABEL GANZ;ABEL GANZ;P66799
ABEL GANZ;ABEL GANZ;P70352
ABEL GANZ;BACK FROM THE ZONE + 2;A28441
ABIOGENESI;IO SONO IL VAMPIRA;A21393
ABIOGENESI;IO SONO IL VAMPIRA;A77685
ABRAHAM, LEE;SEASONS TURN;R80804
ABRAHAM, LEE & STEVE KING;IDLE MUSIC ;E54837
ABRAHAMS, DORIS;LABOR OF LOVE ;G30623
ABRAMIS BRAMA;ENKEL BILJETT;P45595
ABSOLUTELY FREE;ABSOLUTELY FREE;S86085
ABYSMAL GRIEF;FERETRI;M45907
ABYSMAL GRIEF;STRANGE RITES OF EVIL;R61359
ACANTHE;SOMEONE SOMEWHERE;G13284
ACCOLADE;ACCOLADE;R64338
ACCOLADE;ACCOLADE -JPN CARD-;R91077
ACHARD, CYRIL;MAYRIG ;G78216
ACHE;DE HOMINE URBANO;Q05655
ACID MOTHERS TEMPLE;ARE WE EXPERIMENTAL?;P42725
ACID MOTHERS TEMPLE;ASTRORGASM FROM THE..;P46644
ACID MOTHERS TEMPLE;BENZAITAN;Q59074
ACID MOTHERS TEMPLE;COMETARY ORBITAL DRIVE;E85137
ACID MOTHERS TEMPLE;DARK SIDE OF THE BLACK..;F67221
ACID MOTHERS TEMPLE;GLORIFY ASTROLOGICAL;E76557
ACID MOTHERS TEMPLE;IN SEARCH OF LOST..;M45295
ACID MOTHERS TEMPLE;LIVE IN OCCIDENT;K52471
ACID MOTHERS TEMPLE;LIVE IN OCCIDENT;L34364
ACID MOTHERS TEMPLE;LIVE IN TOLOSA;P87983
ACID MOTHERS TEMPLE;LIVE IN TOLOSA;Q44804
ACID MOTHERS TEMPLE;LORD OF THE UNDERGROUND;F29891
ACID MOTHERS TEMPLE;PINK LADY LEMONADE..;J94673
ACID MOTHERS TEMPLE;RIPPER AT THE HEAVEN'S..;K67377
ACID MOTHERS TEMPLE & MEL;LIVE IN OCCIDENT;K67357
ACID MOTHERS TEMPLE & MEL;WAKE TO THE NEW DAWN OF..;R93918
ACIDENTE;TECHNOLOGY;928307
ACINTYA;IN LIVE;L50501
ACINTYA;LA CITE DES DIEUX OUBLIES;L50500
ACOUSTIC ASTURIAS;BIRD EYES VIEW;988580
ACQUA FRAGILE;MASS-MEDIA STARS;K11560
ACQUA FRAGILE;MASS-MEDIA STARS;P89781
ACQUA LIBERA;ACQUA LIBERA;S70575
ACTION -GER-;ACTION +3 ;F43912
ACTIVE HEED;VISONS FROM REALITIES;M81900
ADAM, TOROK;ELROHANT IDO;P10806
ADAM, TOROK & MINI;NOMAD OF THE WINDS;683358
ADARO;WORDS NEVER SPOKEN -SPEC-;G79020
ADDAMANERA;NELLA TASCA DE IL ZIO;745212
ADEKAEM;ADEKAEM;R48808
AELIAN;A TREE UNDER THE COLOURS;069542
AELIAN;WATCHER;707264
AEOLIAN RACE;LANDLOCKED NATION ;F57768
AEROBLUS;AEROBLUS;P78343
AERYAL;TENGANAN ;L61031
AFTER;HIDEOUT;E41469
AFTER;LIVE AT HOME;J69133
AFTER;NO ATTACHMENTS;K62509
AFTER CRYING;1989 ;F32750
AFTER CRYING;25TH ANNIVERSARY CONCERT;P22563
AFTER CRYING;6;A42497
AFTER CRYING;AFTER CRYING SHOW;778620
AFTER CRYING;BOOTLEG SYMPHONY;502071
AFTER CRYING;CREATURA 2011 ;K82384
AFTER CRYING;DE PROFUNDIS;432584
AFTER CRYING;ELSO EVTIZED-FIRST DECAD ;470206
AFTER CRYING;FOLD ES EG (EARTH & SKY) ;037504
AFTER CRYING;OPUS 1 ;F32745
AFTER CRYING;OVERGROUND MUSIC;037508
AFTER CRYING;STRUGGLE FOR LIFE;031190
AFTER CRYING;STRUGGLE FOR LIFE..;031195
AFTERATALL;A.C.I.D.;712378
AGAMON;OPEN YOUR EYES;F20474
AGE OF ARTEMIS;WAKING HOUR + 1;P64906
AGE OF NEMESIS;PSYCHOGEIST;G96789
AGE OF NEMESIS;TERRA INCOGNITA;J94306
AGENT COOPER;STREETS;M12461
AGINCOURT;FLY AWAY;092654
AGINCOURT;FLY AWAY ;346659
AGONY BAG;FEELMAZUMBA;465447
AGORA;AGORA 2;973692
AGORA;ICHINEN;P22505
AGORA;LIVE IN MONTREUX (1975);973691
AGUSA;AGUSA 2;Q65208
AGUSA;KATARSIS;S45515
AGUSA;KATARSIS =ORANGE=;S45517
AHORA MAZDA;AHORA MAZDA;M77208
AHORA MAZDA;AHORA MAZDA -DIGI-;G69824
AICAN;ART SLAVES/KILLS ;K84419
AICAN;DON'T GO DEEP INTO THE..;S35142
AIGUES VIVES;WATER OF SEASONS;543234
AINALA, LAURI;ORPOKOTIJUHLAT.. -DIGI-;S58414
AINIGMA;DILUVIUM +2;A83079
AINUR;LAY OF LEITHIAN;G38721
AINUR;LOST TALES;M62179
AIR CANDA;AIR CANDA;Q05002
AIRBAG;ALL RIGHTS REMOVED;K54809
AIRBAG;DISCONNECTED;R75570
AIRBAG;DISCONNECTED -LTD/DIGI-;R75572
AIRBAG;GREATEST SHOW ON EARTH;M80880
AIRBAG;GREATEST SHOW.. -DELUXE-;M80881
AIRBAG;LIBERTAD;M93021
AIRBAG;SAMSARA VIVO -CD+DVD-;M01110
AIREY, DON;K2-TALES OF TRIUMPH & TRA;R46302
AIRPORTMAN;DAVID;P89056
AIRPORTMAN;LETTERS ;E67334
AIRPORTMAN;OFF;C05885
AIRPORTMAN;RAINY DAYS ;G39578
AIRPORTMAN;ROAD;G64758
AIRPORTMAN;WEEDS ;F36063
AIRPORTMAN/GIACCONE/LALLI;ANNA E SAM;R72387
AIRPORTMEN;MODERN -CD+DVD-;M08655
AJALON;ON THE THRESHOLD OF ETERN;883196
AKA;DO WHAT YOU LIKE;P59396
AKA;REFLECTION;Q07150
AKACIA;THIS FADING TIME;A92371
AKASHA;AKASHA -LTD-;M33366
AKBAYRAM, EDIP & DOSTLAR;NEDIR NE DEGILDIR;P91420
AKBAYRAM, EDIP & DOSTLAR;NICE YILLARA GULUM;R51718
AKIKO'S COSMO SPACE;JULAHSICA TO THIS..;R23718
AKIN;WAY THINGS END;K25811
AKKERMAN, JAN;TALENT FOR SALE;K88443
AKO DOMA;AKO DOMA;030773
AKO DOMA;ALIENS ARE GOOD FOR SALE;071876
AKROASIS;I RACCONTI DEL MAR;G85750
AKRON;IL TIEMPO DI FERRO;347545
AKRON;IL TIEMPO DI FERRO;953770
AKRON;LA SIGNORA DEL BUIO;059838
AKRON/FAMILY;MEEK WARRIOR;C07646
AKSTENS, TOM;ORIGINAL AND..;J89762
AKSTENS, TOM;TOM AKSTENS -JAP CARD-;K20815
AKTUALA;AKTUALA;M80994
AKTUALA;LA TERRA;M80995
AL ET AL;STRANGE AFFAIR;S58819
ALANG;AROUND US;P23061
ALARION;WAVES OF DESTRUCTION;R95679
ALBION;ALBION/SURVIVAL GAMES ;706581
ALBION;INDEFINITE STATE OF..;M10909
ALBION;SURVIVAL GAMES;859554
ALBION;WABIAC CIENIE ;E06800
ALBIR, FRANC;HOC;M27783
